,replacement,config,ipc,instructions,cycles,total_access,total_hit,total_miss,load_access,load_hit,load_miss,rfo_access,rfo_hit,rfo_miss,prefetch_access,prefetch_hit,prefetch_miss,writeback_access,writeback_hit,writeback_miss
0,ship++_leaders_128,config1,0.405846,100000000,246398956,1162158,351703,810455,632028,148358,483670,264148,76650,187498,0,0,0,265982,126695,139287
1,ship++_leaders_128,config1,0.72363,100000001,138192132,32512,7705,24807,21583,407,21176,3395,1,3394,0,0,0,7534,7297,237
2,ship++_leaders_128,config1,0.55932,100000001,178788628,5752304,1507985,4244319,806178,44,806134,2473059,409306,2063753,0,0,0,2473067,1098635,1374432
3,ship++_leaders_128,config1,0.40945,100000000,244230268,81693,61811,19882,53416,39658,13758,10648,4526,6122,0,0,0,17629,17627,2
4,ship++_leaders_128,config1,0.347185,100000003,288030693,4687839,803964,3883875,3310966,701947,2609019,20,0,20,0,0,0,1376853,102017,1274836
5,ship++_leaders_128,config1,1.13938,100000003,87767319,789890,121146,668744,401402,95255,306147,194181,905,193276,0,0,0,194307,24986,169321
6,ship++_leaders_128,config1,0.58819,100000000,170013166,5455664,1465137,3990527,763531,118,763413,2345910,454890,1891020,0,0,0,2346223,1010129,1336094
7,ship++_leaders_128,config1,0.285988,100000000,349664609,6993476,3792243,3201233,4167424,1810778,2356646,751795,292708,459087,0,0,0,2074257,1688757,385500
8,ship++_leaders_128,config1,0.904282,100000002,110584974,1399115,1011059,388056,1148258,766530,381728,122689,117083,5606,0,0,0,128168,127446,722
9,ship++_leaders_128,config1,0.76019,100000002,131546143,1449318,981176,468142,1202517,751663,450854,114009,102788,11221,0,0,0,132792,126725,6067
10,ship++_leaders_128,config1,0.0922202,100000002,1084361350,12167949,5950047,6217902,10389065,4729290,5659775,150300,93784,56516,0,0,0,1628584,1126973,501611
11,ship++_leaders_128,config1,1.0826,100000002,92369962,613107,286930,326177,304677,113225,191452,151946,75677,76269,0,0,0,156484,98028,58456
12,ship++_leaders_128,config1,0.235368,100000000,424866140,3244366,1297890,1946476,1932987,505826,1427161,328355,99884,228471,0,0,0,983024,692180,290844
13,ship++_leaders_128,config1,0.463606,100000000,215700342,4478842,1119439,3359403,2621533,714074,1907459,760185,100319,659866,0,0,0,1097124,305046,792078
14,ship++_leaders_128,config1,0.369084,100000001,270941018,4564556,1027001,3537555,3073734,650458,2423276,126461,108451,18010,0,0,0,1364361,268092,1096269
15,ship++_leaders_128,config1,0.444964,100000001,224737369,4917103,204982,4712121,3390381,128895,3261486,24,24,0,0,0,0,1526698,76063,1450635
16,ship++_leaders_128,config1,0.346994,100000003,288189328,4047234,254759,3792475,3006773,156864,2849909,24,18,6,0,0,0,1040437,97877,942560
17,ship++_leaders_128,config1,0.369595,100000001,270566734,2613322,2314820,298502,2495348,2216043,279305,37609,22852,14757,0,0,0,80365,75925,4440
18,ship++_leaders_128,config1,0.494543,100000000,202206681,373288,160749,212539,144396,65812,78584,71290,13083,58207,0,0,0,157602,81854,75748
19,ship++_leaders_128,config1,0.397478,100000001,251586093,2500691,1058870,1441821,2301166,860174,1440992,0,0,0,0,0,0,199525,198696,829
20,ship++_leaders_128,config1,0.455788,100000003,219400195,1769067,1241148,527919,1739412,1225892,513520,12908,2633,10275,0,0,0,16747,12623,4124
21,ship++_leaders_128,config1,0.542028,100000003,184492156,6027284,1579638,4447646,843450,158,843292,2591814,430830,2160984,0,0,0,2592020,1148650,1443370
22,ship++_leaders_128,config1,0.429641,100000003,232752642,1058894,127317,931577,632847,49539,583308,201034,795,200239,0,0,0,225013,76983,148030
23,ship++_leaders_128,config1,0.394423,100000000,253534984,411671,389982,21689,296216,280317,15899,32929,27679,5250,0,0,0,82526,81986,540
24,ship++_leaders_128,config1,0.733298,100000003,136370224,21200174,21146025,54149,194764,150662,44102,10471722,10461785,9937,0,0,0,10533688,10533578,110
25,ship++_leaders_128,config1,0.495169,100000000,201951243,3679357,1365122,2314235,2465981,861960,1604021,467651,175904,291747,0,0,0,745725,327258,418467
26,ship++_leaders_128,config1,0.828767,100000000,120661104,1432064,1208315,223749,1067513,933628,133885,180727,103588,77139,0,0,0,183824,171099,12725
27,ship++_leaders_128,config1,0.415128,100000003,240889615,1165598,359689,805909,633144,155668,477476,265372,75966,189406,0,0,0,267082,128055,139027
28,ship++_leaders_128,config1,0.381466,100000001,262146710,3801525,111537,3689988,2789401,95594,2693807,20,20,0,0,0,0,1012104,15923,996181
29,ship++_leaders_128,config1,0.428098,100000003,233591557,1105151,338834,766317,614443,166128,448315,245232,60559,184673,0,0,0,245476,112147,133329
30,ship++_leaders_128,config1,0.395895,100000003,252592408,405079,381412,23667,285435,267498,17937,34071,28786,5285,0,0,0,85573,85128,445
31,ship++_leaders_128,config1,0.4335,100000003,230680399,2675520,55227,2620293,1680645,9330,1671315,136848,7883,128965,0,0,0,858027,38014,820013
32,ship++_leaders_128,config1,0.502664,100000002,198940053,3572668,851215,2721453,2180515,514112,1666403,629126,127738,501388,0,0,0,763027,209365,553662
33,ship++_leaders_128,config1,0.23425,100000001,426895063,1984524,236851,1747673,1160616,89445,1071171,340549,30308,310241,0,0,0,483359,117098,366261
34,ship++_leaders_128,config1,0.609662,100000000,164025353,1575110,835859,739251,1332847,637145,695702,103774,77654,26120,0,0,0,138489,121060,17429
35,ship++_leaders_128,config1,0.129776,100000001,770557966,6966718,2813237,4153481,2413979,533721,1880258,1812772,761093,1051679,0,0,0,2739967,1518423,1221544
36,ship++_leaders_128,config1,0.747037,100000003,133862247,1134857,1002719,132138,519854,460880,58974,292430,224183,68247,0,0,0,322573,317656,4917
37,ship++_leaders_128,config1,0.115406,100000001,866506865,11193194,5109348,6083846,8987753,3653507,5334246,195618,123912,71706,0,0,0,2009823,1331929,677894
38,ship++_leaders_128,config1,1.02772,100000001,97302413,381989,16797,365192,315489,7047,308442,3447,1,3446,0,0,0,63053,9749,53304
39,ship++_leaders_128,config1,0.282858,100000003,353533762,7006994,3654740,3352254,4052500,1707790,2344710,856733,340945,515788,0,0,0,2097761,1606005,491756
40,ship++_leaders_128,config1,1.46983,100000003,68035048,1133161,1047369,85792,790337,734930,55407,47630,19031,28599,0,0,0,295194,293408,1786
41,ship++_leaders_128,config1,0.44003,100000003,227257279,2838711,68040,2770671,1956031,13209,1942822,140009,0,140009,0,0,0,742671,54831,687840
42,ship++_leaders_128,config1,0.316483,100000000,315972687,2825480,2582816,242664,2094626,1859745,234881,16394,16028,366,0,0,0,714460,707043,7417
43,ship++_leaders_128,config1,0.0842854,100000000,1186445290,14619503,7791255,6828248,14276896,7551160,6725736,25872,16589,9283,0,0,0,316735,223506,93229
44,ship++_leaders_128,config1,0.598496,100000000,167085539,1490750,467400,1023350,835381,194489,640892,219225,34054,185171,0,0,0,436144,238857,197287
45,ship++_leaders_128,config1,0.322946,100000002,309649067,5290143,2754029,2536114,3127297,1381370,1745927,652045,255029,397016,0,0,0,1510801,1117630,393171
46,ship++_leaders_128,config1,2.07426,100000001,48209981,1896,9,1887,1706,0,1706,181,0,181,0,0,0,9,9,0
47,ship++_leaders_128,config1,0.553263,100000000,180745723,119554,22687,96867,80540,2928,77612,1075,170,905,0,0,0,37939,19589,18350
48,ship++_leaders_128,config1,0.814901,100000002,122714255,991023,710043,280980,696691,506463,190228,102176,40550,61626,0,0,0,192156,163030,29126
49,ship++_leaders_128,config1,1.51718,100000003,65911685,827374,661829,165545,730855,565941,164914,414,392,22,0,0,0,96105,95496,609
50,ship++_leaders_128,config1,0.516368,100000003,193660281,2445955,67942,2378013,1321299,1896,1319403,423300,6187,417113,0,0,0,701356,59859,641497
51,ship++_leaders_128,config2,0.460193,100000000,217300345,1164035,326996,837039,21763,3423,18340,264086,77251,186835,612079,132485,479594,266107,113837,152270
52,ship++_leaders_128,config2,0.725224,100000001,137888497,42522,7066,35456,13577,393,13184,3352,12,3340,17694,471,17223,7899,6190,1709
53,ship++_leaders_128,config2,0.644276,100000001,155213039,5795274,1462324,4332950,417310,18494,398816,2473106,377065,2096041,431736,24290,407446,2473122,1042475,1430647
54,ship++_leaders_128,config2,0.410568,100000000,243565069,157868,133926,23942,71023,61828,9195,11273,5616,5657,50719,41861,8858,24853,24621,232
55,ship++_leaders_128,config2,0.606739,100000003,164815463,5145112,262278,4882834,521243,125489,395754,17,0,17,3246551,58847,3187704,1377301,77942,1299359
56,ship++_leaders_128,config2,1.42069,100000003,70388351,831012,62938,768074,26204,11780,14424,201213,7758,193455,400922,11757,389165,202673,31643,171030
57,ship++_leaders_128,config2,0.670164,100000000,149217207,5492899,1404740,4088159,391516,16324,375192,2345767,385720,1960047,409521,21174,388347,2346095,981522,1364573
58,ship++_leaders_128,config2,0.378321,100000000,264325835,8713538,4766862,3946676,2237199,1095341,1141858,764919,275373,489546,3550948,1631288,1919660,2160472,1764860,395612
59,ship++_leaders_128,config2,1.22581,100000003,81578781,1445931,830856,615075,118916,100870,18046,121984,120535,1449,1076637,481554,595083,128394,127897,497
60,ship++_leaders_128,config2,1.03679,100000000,96451118,1574030,806367,767663,202247,168766,33481,111348,109910,1438,1127280,396602,730678,133155,131089,2066
61,ship++_leaders_128,config2,0.109598,100000002,912426951,21077750,9765767,11311983,9505019,5915500,3589519,164380,56540,107840,9645412,2332179,7313233,1762939,1461548,301391
62,ship++_leaders_128,config2,1.3563,100000002,73729873,631956,287263,344693,36929,21445,15484,152068,75871,76197,287154,91407,195747,155805,98540,57265
63,ship++_leaders_128,config2,0.255094,100000000,392012498,4309273,1411258,2898015,1523316,453389,1069927,249958,88072,161886,1529959,189578,1340381,1006040,680219,325821
64,ship++_leaders_128,config2,0.638493,100000000,156618745,4599611,1051853,3547758,466351,131306,335045,742873,95970,646903,2290021,498330,1791691,1100366,326247,774119
65,ship++_leaders_128,config2,0.609161,100000000,164160264,4812398,551938,4260460,461919,40644,421275,126472,117279,9193,2859715,128247,2731468,1364292,265768,1098524
66,ship++_leaders_128,config2,0.557529,100000003,179362827,4917133,277446,4639687,1164347,61339,1103008,24,24,0,2226064,93293,2132771,1526698,122790,1403908
67,ship++_leaders_128,config2,0.483467,100000001,206839405,4047262,231719,3815543,834801,38559,796242,24,13,11,2172001,96679,2075322,1040436,96468,943968
68,ship++_leaders_128,config2,0.37497,100000001,266688154,4665954,2416854,2249100,2183998,2042891,141107,24958,12304,12654,2376629,302948,2073681,80369,58711,21658
69,ship++_leaders_128,config2,0.499157,100000001,200337934,479224,205839,273385,108314,57542,50772,72099,9580,62519,138949,57098,81851,159862,81619,78243
70,ship++_leaders_128,config2,0.445924,100000000,224253473,13010441,10700350,2310091,5289639,4386251,903388,0,0,0,6807384,5404525,1402859,913418,909574,3844
71,ship++_leaders_128,config2,0.460972,100000003,216933040,3283322,1529937,1753385,1564298,1269157,295141,5220,2634,2586,1696956,248099,1448857,16848,10047,6801
72,ship++_leaders_128,config2,0.624707,100000003,160075081,6075009,1535447,4539562,448429,21434,426995,2591739,399337,2192402,442872,26417,416455,2591969,1088259,1503710
73,ship++_leaders_128,config2,0.682501,100000000,146519984,1088790,140222,948568,57789,8803,48986,201521,1380,200141,600986,47926,553060,228494,82113,146381
74,ship++_leaders_128,config2,0.39757,100000000,251528310,656703,613949,42754,310909,302843,8066,30806,26497,4309,212708,182979,29729,102280,101630,650
75,ship++_leaders_128,config2,0.742055,100000003,134760949,21346126,21272083,74043,165897,131106,34791,10463422,10457725,5697,183319,149941,33378,10533488,10533311,177
76,ship++_leaders_128,config2,0.710254,100000000,140794766,3757429,1208435,2548994,404930,125174,279756,463740,173986,289754,2139581,573446,1566135,749178,335829,413349
